code_2010,name_2010,code_2015,name_2015,weight_2015,relation
5351,婦人ショーツ,5351,婦人用ショーツ,8,renamed
5361,ランジェリー,5361,ランジェリー,8,1:1
5372,子供シャツ,5372,子供用シャツ,4,renamed
5501,帽子,5501,帽子,6,1:1
5511,ネクタイ,5511,ネクタイ,2,1:1
5521,男子靴下,5521,男子用靴下,7,renamed
5531,婦人ストッキング,5531,婦人用ストッキング,3,renamed
5541,婦人ソックス,5541,婦人用ソックス,9,renamed
5571,ベルト,5571,ベルト,3,1:1
5572,マフラー,5572,マフラー,5,1:1
5601,男子靴,5601,男子靴,12,1:1
5611,婦人靴,5611,婦人靴,24,1:1
5631,運動靴,5631,運動靴,14,1:1
5641,子供靴,5641,子供靴,3,1:1
5652,スリッパ,5652,スリッパ,3,1:1
5671,サンダル,5671,サンダル,2,1:1
5711,洗濯代（ワイシャツ）,5711,洗濯代Ａ,9,renamed
5712,洗濯代（背広服上下）,5712,洗濯代Ｂ,9,renamed
5721,履物修理代,5721,履物修理代,2,1:1
5731,被服賃借料,5731,被服賃借料,4,1:1
6001,感冒薬,6001,総合かぜ薬,10,renamed
6002,解熱鎮痛剤,6002,解熱鎮痛剤,4,1:1
6003,鼻炎薬,6003,鼻炎薬,7,1:1
6012,胃腸薬,6012,胃腸薬,8,1:1
6021,ビタミン剤Ａ,6021,ビタミン剤Ａ,3,1:1
6022,ビタミン剤Ｂ,6022,ビタミン剤Ｂ,3,1:1
6031,ドリンク剤,6031,ドリンク剤,22,1:1
6051,皮膚病薬,6051,皮膚病薬,5,1:1
6061,はり薬,6061,はり薬,6,1:1
6062,目薬,6062,目薬,6,1:1
6090,サプリメント,6090,健康保持用摂取品Ａ,20,renamed
6091,漢方薬,6091,漢方薬,7,1:1
,,6094,健康保持用摂取品Ｂ,20,new
6095,浴用剤,6095,入浴剤,6,renamed
6101,生理用ナプキン,6101,生理用ナプキン,8,1:1
,,6102,マスク,4,new
6121,眼鏡,6121,眼鏡,17,1:1
6131,体温計,,,0,abolished
6141,紙おむつ（乳幼児用）,6141,紙おむつ（乳幼児用）,5,1:1
6142,紙おむつ（大人用）,6142,紙おむつ（大人用）,5,1:1
6161,コンタクトレンズ,6161,コンタクトレンズ,10,1:1
6171,血圧計,6171,血圧計,5,1:1
,,6172,補聴器,5,new
,,6173,サポーター,5,new
6181,コンタクトレンズ用剤,6181,コンタクトレンズ用剤,4,1:1
6200,診療代,6200,診療代,207,1:1
6210,出産入院料,6210,出産入院料,2,1:1
6221,マッサージ料金,6221,マッサージ料金,10,1:1
6222,人間ドック受診料,6222,人間ドック受診料,10,1:1
6223,予防接種料,6223,予防接種料,8,1:1
7007,鉄道運賃（ＪＲ以外）,,,0,abolished
7008,普通運賃（ＪＲ以外）,7008,普通運賃（ＪＲ以外）,21,1:1
7009,通学定期（ＪＲ以外）,7009,通学定期（ＪＲ以外）,5,1:1
7010,通勤定期（ＪＲ以外）,7010,通勤定期（ＪＲ以外）,16,1:1
7026,鉄道運賃（ＪＲ）,,,0,abolished
7029,通学定期（ＪＲ）,7029,通学定期（ＪＲ）,7,1:1
7030,通勤定期（ＪＲ）,7030,通勤定期（ＪＲ）,17,1:1
7050,一般路線バス代,7050,一般路線バス代,17,1:1
7057,高速バス代,7057,高速バス代,4,1:1
7060,タクシー代,7060,タクシー代,18,1:1
7070,航空運賃,7070,航空運賃,22,1:1
7105,軽乗用車,7105,軽乗用車,40,1:1
7106,小型乗用車Ａ,7106,小型乗用車Ａ,55,1:1
7107,小型乗用車Ｂ,,,0,abolished
7110,小型乗用車（輸入品）,7110,小型乗用車Ｂ,5,renamed
7113,普通乗用車,7113,普通乗用車Ａ,80,renamed
7115,普通乗用車（輸入品）,7115,普通乗用車Ｂ,20,renamed
7201,自転車,7201,自転車Ａ,6,renamed
,,7202,自転車Ｂ,3,new
7301,ガソリン,7301,ガソリン,206,1:1
7311,自動車タイヤ,7311,自動車タイヤ,30,1:1
7312,自動車バッテリー,7312,自動車バッテリー,8,1:1
7313,カーナビゲーション,7313,カーナビゲーション,21,1:1
7314,ＥＴＣ車載器,,,0,abolished
7322,自動車ワックス,,,0,abolished
7331,自動車整備費（定期点検）,7331,自動車整備費（定期点検）,28,1:1
7335,自動車整備費（パンク修理）,7335,自動車整備費（パンク修理）,22,1:1
7341,自動車オイル交換料,7341,自動車オイル交換料,12,1:1
7342,車庫借料,7342,車庫借料,51,1:1
7343,駐車料金,7343,駐車料金,9,1:1
7344,レンタカー料金,7344,レンタカー料金,5,1:1
7347,洗車代,7347,洗車代,2,1:1
,,7350,ロードサービス料,3,new
7351,自動車免許手数料,7351,自動車免許手数料,2,1:1
7360,高速道路料金,,,0,abolished
7363,高速自動車国道料金,7363,高速自動車国道料金,26,1:1
7364,都市高速道路料金,7364,都市高速道路料金,9,1:1
7370,自動車保険料（自賠責）,7370,自動車保険料（自賠責）,41,1:1
7390,自動車保険料（任意）,7390,自動車保険料（任意）,189,1:1
7401,はがき,7401,はがき,3,1:1
7402,封書,7402,封書,7,1:1
7410,固定電話通信料,7410,通信料（固定電話）,81,renamed
7430,携帯電話通信料,7430,通信料（携帯電話）,230,renamed
7433,運送料,7433,運送料,15,1:1
7441,固定電話機,7441,固定電話機,2,1:1
7446,携帯電話機,7446,携帯電話機,77,1:1
7527,普通運賃（ＪＲ）,7527,普通運賃（ＪＲ）,35,1:1
7528,料金（ＪＲ，在来線）,7528,料金（ＪＲ，在来線）,8,1:1
7530,料金（ＪＲ，新幹線）,7530,料金（ＪＲ，新幹線）,19,1:1
8001,ＰＴＡ会費（小学校）,8001,ＰＴＡ会費（小学校）,15,1:1
8002,ＰＴＡ会費（中学校）,8002,ＰＴＡ会費（中学校）,15,1:1
8010,私立中学校授業料,8010,中学校授業料（私立）,16,renamed
8020,公立高校授業料,8020,高等学校授業料（公立）,4,renamed
8030,私立高校授業料,8030,高等学校授業料（私立）,17,renamed
8040,国立大学授業料,8040,大学授業料（国立）,10,renamed
8060,私立大学授業料,8060,大学授業料（私立）,90,renamed
8070,私立短期大学授業料,8070,短期大学授業料（私立）,5,renamed
