code_2015,name_2015,weight_2015,code_2020,name_2020,weight_2020,relation
4401,ラップ,5,4401,ラップ,6,1:1
4402,ポリ袋,8,4402,ポリ袋,9,1:1
4403,キッチンペーパー,2,4403,キッチンペーパー,3,1:1
4412,ティシュペーパー,8,4412,ティシュペーパー,9,1:1
4413,トイレットペーパー,13,4413,トイレットペーパー,14,1:1
4431,台所用洗剤,11,4431,台所用洗剤,12,1:1
4441,洗濯用洗剤,17,4441,洗濯用洗剤,17,1:1
4442,柔軟仕上剤,9,4442,柔軟仕上剤,10,1:1
4451,殺虫剤,7,4451,殺虫剤,9,1:1
4471,芳香・消臭剤,6,4471,芳香・消臭剤,8,1:1
4501,家事代行料,4,4501,家事代行料,4,1:1
4515,浄化槽清掃代,12,4515,浄化槽清掃代,12,1:1
4521,リサイクル料金,4,4521,リサイクル料金,5,1:1
4610,下水道料,73,4610,下水道料,67,1:1
4701,モップレンタル料,8,4701,モップレンタル料,7,1:1
5011,婦人用着物,4,5011,婦人用着物,3,1:1
5041,婦人用帯,2,5041,婦人用帯,1,1:1
5101,背広服（春夏物，中級品）,6,5101,背広服（春夏物，中級品）,5,1:1
5102,背広服（秋冬物，中級品）,6,5102,背広服（秋冬物，中級品）,5,1:1
5103,背広服（春夏物，普通品）,4,5103,背広服（春夏物，普通品）,3,1:1
5104,背広服（秋冬物，普通品）,4,5104,背広服（秋冬物，普通品）,3,1:1
5111,男子用上着,7,5111,男子用上着,6,1:1
5121,男子用ズボン（秋冬物）,6,5121,男子用ズボン（秋冬物）,6,1:1
5122,男子用ズボン（春夏物）,7,5122,男子用ズボン（春夏物）,7,1:1
5123,男子用ズボン（ジーンズ）,2,5123,男子用ズボン（ジーンズ）,2,1:1
5131,男子用コート,5,5131,男子用コート,5,1:1
5141,男子用学校制服,5,5141,男子用学校制服,4,1:1
5161,ワンピース（春夏物）,7,5161,ワンピース（春夏物）,6,1:1
5162,婦人用スーツ（秋冬物，中級品）,4,5162,婦人用スーツ（秋冬物，中級品）,3,1:1
5163,ワンピース（秋冬物）,6,5163,ワンピース（秋冬物）,6,1:1
5166,婦人用スーツ（春夏物，中級品）,6,5166,婦人用スーツ（春夏物，中級品）,3,1:1
5167,婦人用スーツ（春夏物，普通品）,3,5167,婦人用スーツ（春夏物，普通品）,2,1:1
5168,婦人用スーツ（秋冬物，普通品）,3,5168,婦人用スーツ（秋冬物，普通品）,2,1:1
5169,スカート（春夏物）,4,5169,スカート（春夏物）,4,1:1
5172,スカート（秋冬物）,4,5172,スカート（秋冬物）,4,1:1
5179,婦人用スラックス（ジーンズ）,16,5179,婦人用スラックス（ジーンズ）,16,1:1
5181,婦人用スラックス（秋冬物）,12,5181,婦人用スラックス（秋冬物）,10,1:1
5182,婦人用コート,14,5182,婦人用コート,11,1:1
5183,婦人用上着,11,5183,婦人用上着,8,1:1
5184,女子用学校制服,5,5184,女子用学校制服,5,1:1
5193,乳児服,3,5193,乳児服,2,1:1
5202,ワイシャツ（長袖）,6,5202,ワイシャツ,6,1:1
5211,男子用スポーツシャツ（長袖）,4,5211,男子用スポーツシャツ（長袖）,4,1:1
5212,男子用スポーツシャツ（半袖）,9,5212,男子用スポーツシャツ（半袖）,8,1:1
5221,男子用セーター,6,5221,男子用セーター,5,1:1
5231,ブラウス（長袖）,4,5231,ブラウス（長袖）,3,1:1
5232,ブラウス（半袖）,7,5232,ブラウス（半袖）,5,1:1
5233,婦人用Ｔシャツ（長袖）,10,5233,婦人用Ｔシャツ（長袖）,8,1:1
5234,婦人用Ｔシャツ（半袖）,14,5234,婦人用Ｔシャツ（半袖）,12,1:1
5241,婦人用セーター（長袖）,15,5241,婦人用セーター（長袖）,11,1:1
5242,婦人用セーター（半袖）,4,5242,婦人用セーター（半袖）,3,1:1
5243,子供用Ｔシャツ（長袖）,3,5243,子供用Ｔシャツ（長袖）,3,1:1
5244,子供用Ｔシャツ（半袖）,3,5244,子供用Ｔシャツ（半袖）,3,1:1
5301,男子用シャツ（半袖）,5,5301,男子用シャツ（半袖）,5,1:1
5311,男子用パンツ,5,5311,男子用パンツ,3,1:1
5331,男子用パジャマ,3,5331,男子用パジャマ,2,1:1
5341,ブラジャー,3,5341,ブラジャー,3,1:1
5351,婦人用ショーツ,8,5351,婦人用ショーツ,8,1:1
5361,ランジェリー,8,5361,ランジェリー,8,1:1
5372,子供用シャツ,4,5372,子供用下着,4,1:1
5501,帽子,6,5501,帽子,5,1:1
5511,ネクタイ,2,5511,ネクタイ,1,1:1
5521,男子用靴下,7,5521,男子用靴下,7,1:1
5531,婦人用ストッキング,3,5531,婦人用ストッキング,2,1:1
5541,婦人用ソックス,9,5541,婦人用ソックス,8,1:1
5571,ベルト,3,5571,ベルト,2,1:1
5572,マフラー,5,5572,マフラー,3,1:1
5601,男子靴,12,5601,男子靴,10,1:1
5611,婦人靴,24,5611,婦人靴,16,1:1
5631,運動靴,14,5631,運動靴,10,1:1
5641,子供靴,3,5641,子供靴,8,1:1
5652,スリッパ,3,5652,スリッパ,2,1:1
5671,サンダル,2,5671,サンダル,1,1:1
5711,洗濯代Ａ,9,5711,クリーニング代Ａ,7,1:1
5712,洗濯代Ｂ,9,5712,クリーニング代Ｂ,7,1:1
5721,履物修理代,2,5721,履物修理代,2,1:1
5731,被服賃借料,4,5731,被服賃借料,3,1:1
6001,総合かぜ薬,10,6001,総合かぜ薬,11,1:1
6002,解熱鎮痛剤,4,6002,解熱鎮痛剤,5,1:1
6003,鼻炎薬,7,6003,鼻炎薬,8,1:1
6012,胃腸薬,8,6012,胃腸薬,9,1:1
6021,ビタミン剤Ａ,3,6021,ビタミン剤Ａ,4,1:1
6022,ビタミン剤Ｂ,3,6022,ビタミン剤Ｂ,4,1:1
6031,ドリンク剤,22,6031,ドリンク剤,19,1:1
6051,皮膚病薬,5,6051,皮膚病薬,7,1:1
6061,はり薬,6,6061,はり薬,6,1:1
6062,目薬,6,6062,目薬,8,1:1
6090,健康保持用摂取品Ａ,20,6090,健康保持用摂取品Ａ,19,1:1
6091,漢方薬,7,6091,漢方薬,8,1:1
6094,健康保持用摂取品Ｂ,20,6094,健康保持用摂取品Ｂ,19,1:1
6095,入浴剤,6,6095,入浴剤,3,1:1
6101,生理用ナプキン,8,6101,生理用ナプキン,7,1:1
6102,マスク,4,6102,マスク,20,1:1
6121,眼鏡,17,6121,眼鏡,18,1:1
6141,紙おむつ（乳幼児用）,5,6141,紙おむつ（乳幼児用）,5,1:1
6142,紙おむつ（大人用）,5,6142,紙おむつ（大人用）,5,1:1
6161,コンタクトレンズ,10,6161,コンタクトレンズ,12,1:1
6171,血圧計,5,6171,血圧計,4,1:1
6172,補聴器,5,6172,補聴器,7,1:1
6173,サポーター,5,6173,サポーター,4,1:1
6181,コンタクトレンズ用剤,4,6181,コンタクトレンズ用剤,3,1:1
6200,診療代,207,6200,診療代,229,1:1
6221,マッサージ料金,10,6221,マッサージ料金,11,1:1
6222,人間ドック受診料,10,6222,人間ドック受診料,12,1:1
6223,予防接種料,8,6223,予防接種料,8,1:1
7008,普通運賃（ＪＲ以外）,21,7008,普通運賃（ＪＲ以外）,17,1:1
7009,通学定期（ＪＲ以外）,5,7009,通学定期（ＪＲ以外）,4,1:1
7010,通勤定期（ＪＲ以外）,16,7010,通勤定期（ＪＲ以外）,19,1:1
7029,通学定期（ＪＲ）,7,7029,通学定期（ＪＲ）,4,1:1
7030,通勤定期（ＪＲ）,17,7030,通勤定期（ＪＲ）,14,1:1
7050,一般路線バス代,17,7050,一般路線バス代,11,1:1
7057,高速バス代,4,7057,高速バス代,4,1:1
7060,タクシー代,18,7060,タクシー代,12,1:1
7070,航空運賃,22,7070,航空運賃,16,1:1
7105,軽乗用車,40,7105,軽乗用車,49,1:1
7106,小型乗用車Ａ,55,7106,小型乗用車,60,1:1
7113,普通乗用車Ａ,80,7113,普通乗用車Ａ,88,1:1
7115,普通乗用車Ｂ,20,7115,普通乗用車Ｂ,27,1:1
7201,自転車Ａ,6,7201,自転車Ａ,6,1:1
7202,自転車Ｂ,3,7202,自転車Ｂ,4,1:1
7301,ガソリン,206,7301,ガソリン,182,1:1
7311,自動車タイヤ,30,7311,自動車タイヤ,38,1:1
7312,自動車バッテリー,8,7312,自動車バッテリー,10,1:1
7313,カーナビゲーション,21,7313,カーナビゲーション,13,1:1
7331,自動車整備費（定期点検）,28,7331,自動車整備費（定期点検）,37,1:1
7335,自動車整備費（パンク修理）,22,7335,自動車整備費（パンク修理）,29,1:1
7341,自動車オイル交換料,12,7341,自動車オイル交換料,13,1:1
7342,車庫借料,51,7342,車庫借料,45,1:1
7343,駐車料金,9,7343,駐車料金,8,1:1
7344,レンタカー料金,5,7344,レンタカー料金,7,1:1
7347,洗車代,2,7347,洗車代,2,1:1
7350,ロードサービス料,3,7350,ロードサービス料,3,1:1
7351,自動車免許手数料,2,7351,自動車免許手数料,2,1:1
7363,高速自動車国道料金,26,7363,高速自動車国道料金,20,1:1
7364,都市高速道路料金,9,7364,都市高速道路料金,7,1:1
7370,自動車保険料（自賠責）,41,7370,自動車保険料（自賠責）,44,1:1
7390,自動車保険料（任意）,189,7390,自動車保険料（任意）,198,1:1
7401,はがき,3,7401,はがき,2,1:1
7402,封書,7,7402,封書,5,1:1
7410,通信料（固定電話）,81,7410,通信料（固定電話）,55,1:1
7430,通信料（携帯電話）,230,7430,通信料（携帯電話）,271,1:1
7433,運送料,15,7433,運送料,18,1:1
7446,携帯電話機,77,7446,携帯電話機,90,1:1
7527,普通運賃（ＪＲ）,35,7527,普通運賃（ＪＲ）,21,1:1
7528,料金（ＪＲ，在来線）,8,7528,料金（ＪＲ，在来線）,5,1:1
7530,料金（ＪＲ，新幹線）,19,7530,料金（ＪＲ，新幹線）,12,1:1
8001,ＰＴＡ会費（小学校）,15,8001,ＰＴＡ会費（小学校）,14,1:1
8002,ＰＴＡ会費（中学校）,15,8002,ＰＴＡ会費（中学校）,12,1:1
8010,中学校授業料（私立）,16,8010,中学校授業料（私立）,11,1:1
8020,高等学校授業料（公立）,4,8020,高等学校授業料（公立）,19,1:1
8030,高等学校授業料（私立）,17,8030,高等学校授業料（私立）,37,1:1
8040,大学授業料（国立）,10,8040,大学授業料（国立）,12,1:1
8060,大学授業料（私立）,90,8060,大学授業料（私立）,91,1:1
8070,短期大学授業料（私立）,5,8070,短期大学授業料（私立）,5,1:1
8077,専修学校授業料（私立）,14,8077,専修学校授業料（私立）,13,1:1
8100,学習参考教材,4,8100,学習参考教材,4,1:1
8110,教科書,4,8110,教科書,3,1:1
8201,補習教育（中学校）,40,8201,補習教育（中学校）,36,1:1
8203,補習教育（小学校）,25,8203,補習教育（小学校）,24,1:1
8204,補習教育（高校・予備校）,28,8204,補習教育（高校・予備校）,23,1:1
9013,テレビ,15,9013,テレビ,23,1:1
9034,ビデオレコーダー,4,9034,ビデオレコーダー,5,1:1
9043,カメラ,4,9043,カメラ,3,1:1
9051,ピアノ,5,9051,ピアノ,4,1:1
9061,学習用机,3,9061,学習用机,3,1:1
9078,パソコン（デスクトップ型）,8,9078,パソコン（デスクトップ型）,11,1:1
9079,パソコン（ノート型）,14,9079,パソコン（ノート型）,19,1:1
9081,プリンタ,2,9081,プリンタ,4,1:1
9111,ボールペン,5,9111,ボールペン,5,1:1
9121,ノートブック,12,9121,ノートブック,11,1:1
9128,プリンタ用インク,7,9128,プリンタ用インク,6,1:1
9129,はさみ,5,9129,はさみ,5,1:1
9140,競技用靴,9,9140,競技用靴,9,1:1
9141,グローブ,1,9141,グローブ,1,1:1
9142,ゴルフクラブ,8,9142,ゴルフクラブ,8,1:1
9143,テニスラケット,2,9143,テニスラケット,3,1:1
9144,釣ざお,11,9144,釣ざお,4,1:1
9145,トレーニングパンツ,15,9145,トレーニングパンツ,16,1:1
9149,水着,6,9149,水着,7,1:1
9151,人形,3,9151,人形,3,1:1
9152,玩具自動車,5,9152,玩具自動車,5,1:1
9153,組立玩具,8,9153,組立玩具,8,1:1
9154,家庭用ゲーム機（据置型）,1,9154,家庭用ゲーム機,4,1:1
9156,ゲームソフト,4,9156,ゲームソフト,6,1:1
9172,コンパクトディスク,4,9172,コンパクトディスク,3,1:1
9174,ビデオソフト,4,9174,ビデオソフト,3,1:1
